Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
CA230266  ,109,2022,1,102301,2023,1,347,0,NULL,4,4,0,1,8.55,4,4,0,1,7.5,8,8,0,1,8.02,57.1,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA230330,702,2022,1,102301,2023,1,958,0,NULL,4,2,1,0.5,4.8,NULL,NULL,NULL,NULL,NULL,4,2,1,0.5,4.8,3.7,0,4,1,0,0,1,1,1,1,0,0,0,0,0,4,1
CA230419,104,2023,1,102301,2023,1,153,0,NULL,5,3,2,0.6,7.82,5,3,1,0.6,6.42,10,6,3,0.6,7.12,28.6,1.5,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0
CA230673  ,103,2022,1,102301,2023,1,61,0,NULL,3,1,1,0.3333,4.6,4,4,0,1,7.6,7,5,1,0.7143,6.1,40.6,1,8,2,0,0,1,1,0,1,1,0,0,0,0,4,0
CA230974,206,2018,2,102302,2023,1,1184,1,100,2,2,0,1,8.24,2,1,1,0.5,4.99,4,3,1,0.75,6.61,64.3,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA230991  ,404,2023,1,102301,2023,1,790,0,NULL,6,5,0,0.8333,7.07,4,3,0,0.75,6.01,10,8,0,0.8,6.54,100,1,8,2,0,0,1,0,0,1,1,0,0,0,0,3,0
CA231283,305,2023,2,102302,2023,1,153,0,NULL,4,4,0,1,8.64,3,3,0,1,8.45,7,7,0,1,8.54,59.4,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA231388  ,409,2019,1,102301,2023,1,153,0,NULL,5,5,0,1,7.39,5,5,0,1,7.14,10,10,0,1,7.26,71.4,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA231633,103,2022,1,102301,2023,1,201,0,NULL,3,1,1,0.3333,3.9,NULL,NULL,NULL,NULL,NULL,3,1,1,0.3333,3.9,1.9,1,4,1,0,0,1,1,1,1,0,0,0,0,0,4,1
CA231761,104,2023,1,102301,2023,1,161,0,NULL,4,0,4,0,1.86,NULL,NULL,NULL,NULL,NULL,4,0,4,0,1.86,0,0,4,0,0,0,1,1,1,1,0,0,0,0,0,4,1
