Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
MS231199,802,2022,1,102301,2023,1,659,0,NULL,4,2,1,0.5,4.95,3,3,0,1,8.13,7,5,1,0.7143,6.54,94.7,1,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231203  ,219,2018,2,102302,2023,1,185,0,NULL,3,3,0,1,8.42,3,3,0,1,7.79,6,6,0,1,8.1,65.5,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231260  ,209,2019,2,102301,2023,1,92,0,NULL,4,4,0,1,8.86,5,5,0,1,8.86,9,9,0,1,8.86,71.4,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231480,301,2023,2,102302,2023,1,153,0,NULL,4,2,2,0.5,6.14,2,2,0,1,7.23,6,4,2,0.6667,6.68,26.5,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231498  ,106,2023,1,102301,2023,1,330,0,NULL,6,6,0,1,7.86,3,3,0,1,6.53,9,9,0,1,7.2,58.1,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231607  ,405,2023,1,102301,2023,1,335,0,NULL,4,4,0,1,7.88,4,4,0,1,7.94,8,8,0,1,7.91,33.5,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231684,209,2019,1,102301,2023,1,152,0,NULL,5,4,1,0.8,7.51,5,4,0,0.8,6.29,10,8,1,0.8,6.9,22.4,1.5,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231689  ,219,2018,1,102302,2023,1,285,0,NULL,3,3,0,1,8.5,3,3,0,1,8.75,6,6,0,1,8.63,63.3,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS231922,904,2023,9,102302,2023,1,347,0,NULL,5,5,0,1,8.52,6,6,0,1,7.47,11,11,0,1,7.99,39,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS232185,904,2023,9,102301,2023,1,29,0,NULL,4,4,0,1,7.58,5,4,1,0.8,6.57,9,8,1,0.8889,7.07,34.1,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS232725  ,444,2018,1,102301,2023,1,152,0,NULL,6,6,0,1,8.47,5,5,0,1,9.39,11,11,0,1,8.93,48.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MS240196  ,104,2024,1,102301,2024,1,34,1,100,4,3,1,0.75,7.72,4,4,0,1,8.25,8,7,1,0.875,7.98,36,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS240282,402,2024,1,102301,2024,1,242,0,NULL,5,4,0,0.8,6.45,4,3,0,0.75,6.56,9,7,0,0.7778,6.5,74.7,1,10,2,0,0,1,0,0,1,1,0,0,0,0,3,0
MS240337  ,702,2024,1,102302,2024,1,578,0,NULL,4,4,0,1,8.16,5,4,0,0.8,5.79,9,8,0,0.8889,6.98,19.8,1.5,10,1,0,1,1,0,0,1,0,0,1,0,0,3,0
MS240393,102,2024,1,102301,2024,1,176,0,NULL,4,2,0,0.5,3.33,4,1,0,0.25,2.42,8,3,0,0.375,2.87,6.2,1,10,5,0,0,1,1,1,1,1,0,0,0,0,5,0
MS240583,413,2024,1,102301,2024,1,285,0,NULL,5,4,0,0.8,7.17,6,5,0,0.8333,6.55,11,9,0,0.8182,6.86,57.5,1,10,2,0,0,1,0,0,1,1,0,0,0,0,3,0
MS240903  ,206,2024,1,102302,2024,1,303,0,NULL,3,3,0,1,9.3,3,3,0,1,9.17,6,6,0,1,9.24,38.1,0.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS240926,219,2024,1,102302,2024,1,89,0,NULL,3,3,0,1,8.89,4,3,1,0.75,7.63,7,6,1,0.8571,8.26,42.9,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS240942,219,2024,1,102302,2024,1,576,0,NULL,3,3,0,1,8.32,4,4,0,1,7.33,7,7,0,1,7.83,42.9,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS240967,219,2024,1,102302,2024,1,786,0,NULL,3,3,0,1,8.54,4,4,0,1,8.54,7,7,0,1,8.54,41.7,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS241169,219,2024,1,102302,2024,1,69,0,NULL,3,3,0,1,9.15,4,4,0,1,8.93,7,7,0,1,9.04,42.9,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS241208,106,2024,1,102301,2024,1,121,0,NULL,4,4,0,1,8.67,4,3,0,0.75,5.99,8,7,0,0.875,7.33,38.8,1.5,10,2,0,0,1,0,0,1,1,0,0,0,0,3,0
MS241236  ,202,2024,1,102301,2024,1,227,0,NULL,5,5,0,1,9.16,5,5,0,1,8.43,10,10,0,1,8.79,47.1,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS241406,219,2024,1,102301,2024,1,767,0,NULL,2,1,1,0.5,5.08,NULL,NULL,NULL,NULL,NULL,2,1,1,0.5,5.08,16.1,0,5,0,0,0,1,1,0,1,0,0,0,0,0,3,1
MS241429  ,219,2024,1,102302,2024,1,369,0,NULL,3,3,0,1,8.52,4,0,0,0,0,7,3,0,0.4286,4.26,8.9,1.5,10,0,4,0,1,1,1,1,0,1,0,0,0,5,1
MS241457,106,2024,1,102302,2024,1,301,0,NULL,6,1,2,0.1667,1.86,NULL,NULL,NULL,NULL,NULL,6,1,2,0.1667,1.86,1.9,0,5,3,0,0,1,1,1,1,1,0,0,0,0,5,1
MS241688,104,2024,1,102301,2024,1,64,0,NULL,4,3,0,0.75,5.93,4,2,2,0.5,5.71,8,5,2,0.625,5.82,18.6,0.5,10,1,0,0,1,1,0,1,0,0,0,0,0,3,0
MS241757,618,2020,2,102302,2024,1,18,0,NULL,3,3,0,1,9.63,4,4,0,1,9.16,7,7,0,1,9.4,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS241976,209,2024,1,102301,2024,1,227,0,NULL,5,3,2,0.6,5.68,4,3,1,0.75,5.8,9,6,3,0.6667,5.74,19.3,1,10,0,0,0,1,1,0,1,0,0,0,0,0,3,0
MS242130  ,209,2024,2,102302,2024,1,193,0,NULL,5,3,2,0.6,6.64,4,1,3,0.25,5.61,9,4,5,0.4444,6.12,25.5,1,10,0,0,0,1,1,0,1,0,0,0,0,0,3,0
MS242342,618,2020,2,102301,2024,1,18,0,NULL,3,3,0,1,8.39,4,4,0,1,9.35,7,7,0,1,8.87,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MS242632,904,2024,9,102301,2024,1,526,0,NULL,5,4,1,0.8,7.12,NULL,NULL,NULL,NULL,NULL,5,4,1,0.8,7.12,31.8,0,5,0,0,0,1,0,0,1,0,0,0,0,0,2,1
MT200242  ,105,2017,1,102302,2020,1,412,0,NULL,4,4,0,1,7.27,4,4,0,1,7.46,8,8,0,1,7.37,29.3,7.94,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MT200296  ,106,2017,1,102301,2020,1,180,0,NULL,3,0,3,0,0,NULL,NULL,NULL,NULL,NULL,3,0,3,0,0,0,1.7,2,0,0,0,1,1,1,1,0,0,0,0,0,4,1
MT200380  ,702,2014,1,102301,2020,1,153,0,NULL,5,5,0,1,7.83,5,5,0,1,8.16,10,10,0,1,7.99,58.2,8.31,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MT200414  ,702,2014,1,102301,2020,1,166,0,NULL,5,4,1,0.8,7.14,4,4,0,1,8.75,9,8,1,0.8889,7.94,35,7.97,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MT201035  ,202,2016,1,102302,2020,1,161,0,NULL,4,4,0,1,7.95,4,4,0,1,8,8,8,0,1,7.98,100,7.59,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MT201255  ,211,2019,1,102301,2020,1,153,0,NULL,7,7,0,1,7.84,3,3,0,1,9.21,10,10,0,1,8.52,100,7.59,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MT201699  ,103,2017,1,102301,2020,1,246,0,NULL,4,0,4,0,0,NULL,NULL,NULL,NULL,NULL,4,0,4,0,0,0,7.5,2,0,0,0,0,1,1,1,0,0,0,0,0,3,1
MT201727  ,219,2018,1,102301,2020,1,661,0,NULL,4,0,3,0,2.64,NULL,NULL,NULL,NULL,NULL,4,0,3,0,2.64,6.8,6.98,2,1,0,0,0,1,1,1,0,0,0,0,0,3,0
MT201769  ,904,2019,9,102301,2020,1,190,0,NULL,4,2,2,0.5,6.63,NULL,NULL,NULL,NULL,NULL,4,2,2,0.5,6.63,0,4.62,2,0,0,1,1,0,1,1,0,0,1,0,0,4,1
MT202663  ,909,2019,9,102302,2020,1,32,0,NULL,5,1,1,0.2,2.86,3,1,2,0.3333,3.16,8,2,3,0.25,3.01,15,5.32,2,3,0,0,1,1,0,1,1,0,0,0,0,4,0
MT202747  ,902,2019,9,102302,2020,1,260,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,7.7,5,0,5,0,0,1,1,1,0,1,0,0,0,4,1
MT210583  ,209,2019,2,102302,2021,1,508,0,NULL,5,4,1,0.8,8.26,4,4,0,1,8.12,9,8,1,0.8889,8.19,100,7.58,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MT211348  ,409,2019,1,102302,2021,1,811,0,NULL,5,5,0,1,8.41,6,3,3,0.5,5.45,11,8,3,0.7273,6.93,46,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT211523  ,104,2017,2,102302,2021,1,153,0,NULL,5,5,0,1,8.19,NULL,NULL,NULL,NULL,NULL,5,5,0,1,8.19,10.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
mt211531  ,902,2019,9,102301,2021,1,274,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,6.4,0,0,5,0,0,1,1,0,0,1,0,0,0,3,1
MT211557  ,106,2017,1,102302,2021,1,488,0,NULL,4,4,0,1,8.29,4,2,1,0.5,5.05,8,6,1,0.75,6.67,31.9,8.12,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MT211565  ,413,2021,1,102301,2021,1,488,0,NULL,4,1,3,0.25,4.77,3,1,2,0.3333,5.18,7,2,5,0.2857,4.97,13.8,0,4,0,0,0,1,1,0,1,0,0,0,0,0,3,0
MT211568  ,901,2019,9,102302,2021,1,161,0,NULL,5,5,0,1,8.55,NULL,NULL,NULL,NULL,NULL,5,5,0,1,8.55,25,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MT212034  ,303,2016,1,102302,2021,1,241,1,50,5,4,0,0.8,6.71,4,4,0,1,8.74,9,8,0,0.8889,7.72,91.8,8.23,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MT212045  ,802,2014,1,102302,2021,1,187,0,NULL,5,5,0,1,8.14,4,3,0,0.75,6.1,9,8,0,0.8889,7.12,100,7.22,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MT212453  ,906,2020,9,102301,2021,1,112,0,NULL,4,0,4,0,0.49,NULL,NULL,NULL,NULL,NULL,4,0,4,0,0.49,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1
MT212697  ,901,2019,9,102301,2021,1,863,1,100,5,5,0,1,8.91,5,5,0,1,9.06,10,10,0,1,8.99,100,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT220045  ,401,2019,1,102301,2022,1,296,0,NULL,5,3,1,0.6,5.25,4,3,1,0.75,6.65,9,6,2,0.6667,5.95,89.6,1.5,8,1,0,0,1,1,0,1,0,0,0,0,0,3,0
MT220187  ,301,2016,1,102302,2022,1,488,0,NULL,5,3,2,0.6,6.58,4,4,0,1,8.66,9,7,2,0.7778,7.62,56.8,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT220205  ,106,2017,2,102302,2022,1,19,1,66.67,4,4,0,1,8.13,4,2,1,0.5,5.28,8,6,1,0.75,6.7,11.4,1.5,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0
MT221171  ,604,2020,2,102302,2022,1,18,0,NULL,4,0,4,0,0,NULL,NULL,NULL,NULL,NULL,4,0,4,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
MT221294  ,604,2020,2,102302,2022,1,18,0,NULL,4,4,0,1,9.15,4,4,0,1,9.65,8,8,0,1,9.4,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT221579  ,416,2022,1,102302,2022,1,484,0,NULL,3,3,0,1,9.23,4,4,0,1,8.78,7,7,0,1,9,0,7.5,8,0,0,0,0,0,1,1,0,0,0,0,0,2,0
MT221920  ,219,2018,1,102302,2022,1,471,0,NULL,3,1,1,0.3333,3.36,3,3,0,1,7.22,6,4,1,0.6667,5.29,70,1.5,8,1,0,1,1,1,0,1,0,0,1,0,0,4,0
MT231746  ,906,2023,9,102302,2023,1,161,0,NULL,4,4,0,1,8.17,4,3,0,0.75,5.22,8,7,0,0.875,6.69,22.7,0,10,1,0,0,1,0,0,1,0,0,0,0,0,2,0
MT231976  ,903,2023,9,102301,2023,1,175,0,NULL,5,5,0,1,8.52,5,5,0,1,8.94,10,10,0,1,8.73,75,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT232560  ,305,2023,1,102302,2023,1,576,0,NULL,4,2,2,0.5,6.35,3,3,0,1,8.08,7,5,2,0.7143,7.21,41.2,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT232779,627,2023,9,102302,2023,1,18,0,NULL,3,3,0,1,9.57,3,3,0,1,9,6,6,0,1,9.28,100,0,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT240643,209,2024,1,102302,2024,1,153,0,NULL,5,5,0,1,6.91,5,5,0,1,8.05,10,10,0,1,7.48,47.8,1.5,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MT241953,215,2024,1,102301,2024,1,211,0,NULL,5,1,4,0.2,2.57,NULL,NULL,NULL,NULL,NULL,5,1,4,0.2,2.57,2.5,0,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
MT242400  ,219,2024,1,102302,2024,1,1008,0,NULL,3,3,0,1,8.74,4,4,0,1,7.93,7,7,0,1,8.33,42.9,1,10,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MU201161  ,409,2019,2,102301,2020,1,500,1,65,5,5,0,1,7.56,5,5,0,1,8.13,10,10,0,1,7.84,0,8.04,5,0,0,0,0,0,1,1,0,0,0,0,0,2,0
MU201559  ,106,2017,2,102301,2020,1,193,0,NULL,4,4,0,1,8.24,5,5,0,1,7.23,9,9,0,1,7.74,97.6,8.19,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MU210163  ,104,2017,1,102302,2021,1,937,0,NULL,3,0,3,0,2.8,3,1,2,0.3333,4.01,6,1,5,0.1667,3.41,3.6,1,4,0,0,1,1,1,1,1,0,0,1,0,0,5,0
MU212213  ,405,2019,1,102301,2021,1,309,0,NULL,5,1,4,0.2,4.35,NULL,NULL,NULL,NULL,NULL,5,1,4,0.2,4.35,3.8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1
MU221893  ,402,2019,1,102301,2022,1,640,0,NULL,5,2,1,0.4,4.23,3,1,1,0.3333,3.48,8,3,2,0.375,3.86,59.7,1,8,3,0,0,1,1,0,1,1,0,0,0,0,4,0
MU230138,702,2022,1,102301,2023,1,153,0,NULL,4,2,1,0.5,5.4,2,0,1,0,1.53,6,2,2,0.3333,3.46,5.6,1.5,8,2,0,0,1,1,1,1,1,0,0,0,0,5,0
MU230270,104,2023,2,102301,2023,1,778,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,1,4,0,5,0,1,1,1,1,0,1,0,0,0,5,1
MU230751,409,2019,1,102301,2023,1,1137,0,NULL,5,5,0,1,7.95,5,1,4,0.2,4.88,10,6,4,0.6,6.42,29.9,0,8,0,0,0,1,1,0,1,0,0,0,0,0,3,1
MU231844  ,206,2018,1,102301,2023,1,937,0,NULL,3,3,0,1,7.79,3,2,1,0.6667,6.42,6,5,1,0.8333,7.11,54.8,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MU241272,904,2024,9,102301,2024,1,523,0,NULL,6,0,6,0,0.69,NULL,NULL,NULL,NULL,NULL,6,0,6,0,0.69,0,0,5,0,0,0,1,1,1,1,0,0,0,0,0,4,1
MV200055  ,219,2018,1,102302,2020,1,161,1,75,3,3,0,1,8.73,3,3,0,1,8.56,6,6,0,1,8.64,49.7,6.93,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV200141  ,202,2016,1,102301,2020,1,378,0,NULL,6,6,0,1,8.62,4,4,0,1,9.21,10,10,0,1,8.91,100,8.26,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV200405  ,104,2017,1,102301,2020,1,496,0,NULL,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,0,0,0,0,0,4.1,4,0,4,0,1,1,1,1,0,1,0,0,0,5,1
MV200503  ,101,2017,1,102302,2020,1,412,0,NULL,4,3,1,0.75,6.71,3,3,0,1,7.84,7,6,1,0.8571,7.27,19.6,7.56,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV200577  ,104,2017,1,102301,2020,1,21,0,NULL,4,0,4,0,1.75,NULL,NULL,NULL,NULL,NULL,4,0,4,0,1.75,0,6.24,2,0,0,0,0,1,1,1,0,0,0,0,0,3,1
MV200601  ,702,2014,1,102301,2020,1,91,0,NULL,5,5,0,1,7.25,5,5,0,1,8.35,10,10,0,1,7.8,100,8.21,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV200682  ,209,2019,2,102301,2020,1,296,0,NULL,5,5,0,1,8.22,5,3,2,0.6,6.14,10,8,2,0.8,7.18,92.5,7.27,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV200720  ,409,2019,2,102302,2020,1,259,0,NULL,3,3,0,1,9.3,2,2,0,1,8.96,5,5,0,1,9.13,23,8.3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MV200735  ,209,2019,2,102302,2020,1,360,0,NULL,5,5,0,1,8.29,4,3,1,0.75,7.35,9,8,1,0.8889,7.82,44.1,6.77,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV200815  ,403,2019,1,102301,2020,1,379,0,NULL,5,4,0,0.8,6.28,NULL,NULL,NULL,NULL,NULL,5,4,0,0.8,6.28,100,7.61,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0
MV201027  ,301,2016,1,102302,2020,1,489,0,NULL,5,4,0,0.8,6.15,4,4,0,1,7.32,9,8,0,0.8889,6.73,100,5.74,4,1,0,0,1,0,0,1,0,0,0,0,0,2,0
MV201226  ,206,2018,1,102302,2020,1,451,0,NULL,3,3,0,1,8.61,3,3,0,1,8.97,6,6,0,1,8.79,38.1,7.61,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV201233  ,106,2017,2,102302,2020,1,317,0,NULL,4,4,0,1,8.06,4,3,1,0.75,7.06,8,7,1,0.875,7.56,100,8.53,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV201271  ,404,2019,1,102301,2020,1,179,0,NULL,5,2,3,0.4,4.02,NULL,NULL,NULL,NULL,NULL,5,2,3,0.4,4.02,7.7,7.15,3,0,0,0,0,1,1,1,0,0,0,0,0,3,1
MV201745  ,219,2018,2,102301,2020,1,304,0,NULL,3,3,0,1,7.25,NULL,NULL,NULL,NULL,NULL,3,3,0,1,7.25,30.5,7.67,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MV201819  ,206,2018,1,102302,2020,1,51,1,50,3,3,0,1,9.32,2,2,0,1,9.17,5,5,0,1,9.25,38.1,8.48,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV201865  ,409,2019,1,102302,2020,1,375,0,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,0,6.56,5,0,5,0,0,1,1,1,0,1,0,0,0,4,1
MV201929  ,618,2020,2,102302,2020,1,18,0,NULL,3,3,0,1,8.97,4,3,1,0.75,8.55,7,6,1,0.8571,8.76,100,1,3,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV201945  ,701,2019,1,102301,2020,1,176,0,NULL,5,4,1,0.8,7.69,3,2,0,0.6667,5.69,8,6,1,0.75,6.69,100,7.99,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MV202004  ,906,2020,9,102301,2020,1,783,0,NULL,6,5,0,0.8333,6.44,5,0,0,0,0,11,5,0,0.4545,3.22,11.4,7.7,2,1,5,1,0,1,0,1,0,1,1,0,0,4,1
MV202136  ,701,2019,1,102301,2020,1,363,0,NULL,5,4,1,0.8,8.07,3,3,0,1,8.78,8,7,1,0.875,8.43,100,3.68,3,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV202347  ,404,2019,1,102301,2020,1,385,0,NULL,6,2,4,0.3333,3.86,NULL,NULL,NULL,NULL,NULL,6,2,4,0.3333,3.86,9,3.13,2,0,0,0,1,1,1,1,0,0,0,0,0,4,1
MV202364  ,202,2016,1,102301,2020,1,169,0,NULL,5,4,0,0.8,6.66,4,4,0,1,8.32,9,8,0,0.8889,7.49,100,8.16,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MV202462  ,702,2014,1,102301,2020,1,508,0,NULL,5,1,3,0.2,4.85,3,3,0,1,6.7,8,4,3,0.5,5.78,10.7,7.91,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0
MV202584  ,614,2020,2,102301,2020,1,18,0,NULL,4,4,0,1,9.43,4,4,0,1,9.38,8,8,0,1,9.4,100,1,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV202705  ,203,2016,1,102301,2020,1,533,0,NULL,4,4,0,1,8.6,4,4,0,1,7.98,8,8,0,1,8.29,33.7,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MV210849  ,211,2019,1,102302,2021,1,258,0,NULL,5,4,1,0.8,6.79,3,3,0,1,7.43,8,7,1,0.875,7.11,46.6,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV210941  ,104,2017,2,102302,2021,1,202,0,NULL,4,4,0,1,9.19,5,5,0,1,8.5,9,9,0,1,8.84,45.2,8.32,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MV210963  ,702,2014,1,102301,2021,1,26,0,NULL,5,2,1,0.4,4.4,NULL,NULL,NULL,NULL,NULL,5,2,1,0.4,4.4,5.1,0,0,2,0,0,1,1,1,0,1,0,0,0,0,4,1
MV211189  ,206,2018,1,102301,2021,1,91,0,NULL,4,2,2,0.5,7.02,3,3,0,1,8.91,7,5,2,0.7143,7.96,4.2,7.58,4,0,0,1,0,0,1,1,0,0,1,0,0,3,0
MV211360  ,206,2018,2,102302,2021,1,32,0,NULL,3,3,0,1,8.49,2,2,0,1,9.2,5,5,0,1,8.84,100,5.66,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV211583  ,206,2018,1,102302,2021,1,161,0,NULL,4,4,0,1,8.99,2,2,0,1,9.08,6,6,0,1,9.04,92.9,5.4,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV211687  ,609,2020,2,102301,2021,1,18,0,NULL,4,4,0,1,8.74,4,4,0,1,9.19,8,8,0,1,8.96,100,0,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV211774  ,211,2019,1,102302,2021,1,285,0,NULL,5,5,0,1,8.82,4,4,0,1,9.15,9,9,0,1,8.99,100,1,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV211797  ,702,2014,1,102301,2021,1,279,0,NULL,5,2,3,0.4,5.88,NULL,NULL,NULL,NULL,NULL,5,2,3,0.4,5.88,3.4,1.5,0,1,0,0,1,1,1,0,0,0,0,0,0,3,1
MV211921  ,206,2018,1,102302,2021,1,188,0,NULL,4,4,0,1,8.73,1,1,0,1,9.56,5,5,0,1,9.15,35.7,0.5,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV212121  ,703,2013,1,102301,2021,1,363,0,NULL,6,5,1,0.8333,8.32,5,5,0,1,8.65,11,10,1,0.9091,8.49,5.1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,3,0
MV212387  ,909,2019,9,102301,2021,1,782,0,NULL,5,1,4,0.2,3.43,NULL,NULL,NULL,NULL,NULL,5,1,4,0.2,3.43,5,6.76,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1
MV212479  ,101,2017,1,102301,2021,1,307,0,NULL,4,0,4,0,2.59,NULL,NULL,NULL,NULL,NULL,4,0,4,0,2.59,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1
MV212484  ,219,2018,2,102302,2021,1,357,0,NULL,4,4,0,1,8.41,3,3,0,1,8.94,7,7,0,1,8.68,63.8,5.9,4,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV220010  ,219,2018,1,102302,2022,1,481,0,NULL,3,3,0,1,8.96,3,3,0,1,8.54,6,6,0,1,8.75,88.1,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV220449  ,209,2019,1,102301,2022,1,153,0,NULL,5,5,0,1,8.49,5,5,0,1,8.35,10,10,0,1,8.42,88.8,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV220595  ,209,2019,2,102301,2022,1,296,0,NULL,5,5,0,1,8.37,5,5,0,1,8.04,10,10,0,1,8.2,88.8,1.5,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV221068  ,202,2021,1,102302,2022,1,786,0,NULL,5,4,1,0.8,7.34,5,5,0,1,7.91,10,9,1,0.9,7.63,47.1,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV221130  ,209,2019,2,102302,2022,1,153,1,100,5,5,0,1,8.96,5,5,0,1,8.74,10,10,0,1,8.85,88.8,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0
MV221206  ,104,2017,2,102301,2022,1,238,0,NULL,4,0,4,0,0.5,NULL,NULL,NULL,NULL,NULL,4,0,4,0,0.5,0,0,4,0,0,0,1,1,1,1,0,0,0,0,0,4,1
MV221511  ,303,2017,1,102302,2022,1,715,0,NULL,4,2,0,0.5,3.54,4,4,0,1,8.14,8,6,0,0.75,5.84,3.6,1,8,2,0,1,1,1,1,1,1,0,1,0,0,6,0
mv221823  ,301,2016,1,102302,2022,1,317,0,NULL,5,4,1,0.8,6.51,5,4,1,0.8,5.4,10,8,2,0.8,5.96,41.4,1.5,8,0,0,0,1,1,0,1,0,0,0,0,0,3,0
MV222261  ,902,2019,9,102302,2022,1,641,0,NULL,5,4,1,0.8,6.48,4,0,4,0,0.51,9,4,5,0.4444,3.49,20,0,10,0,0,0,1,1,0,1,0,0,0,0,0,3,1
